231979181_1,GreatWall_NEG_56_1,"Booked a one day Great wall tour via a linked tripadvisor page , called viator .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,3,1,male,7
231979181_2,GreatWall_NEG_56_2,"The wall at Mutianyu was Great , although it is already becoming very touristic , with all the shops and a Burgerking .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,1,1,male,7
231979181_3,GreatWall_NEG_56_3,"We found it odd , that after paying 69 dollars pp , we had to pay for the cable car ourselves .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,1,1,male,7
231979181_4,GreatWall_NEG_56_4,"The tourguide Michael did not go up with us , just told us 5 minutes something About the wall .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,1,1,male,7
231979181_5,GreatWall_NEG_56_5,"He also kept asking if we wantend to book a show , that he could arrange via a friend .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,3,1,male,7
231979181_6,GreatWall_NEG_56_6,We were rushed through it ( took 5 minutes ) and were left at the shop .,September,2014,October,2014,Maarten L,Netherlands,Europe,male,1,1,male,7
231979181_7,GreatWall_NEG_56_7,"Then the tea ceremony , When the lady began she pointed out that the ceremony was for free but that we had to buy something afterwords .",September,2014,October,2014,Maarten L,Netherlands,Europe,male,2,0,male,7
231979181_8,GreatWall_NEG_56_8,Overall we felt it was a bit of a tourist trap !,September,2014,October,2014,Maarten L,Netherlands,Europe,male,2,0,male,7
504998391_1,GreatWall_NEU_53_1,This is part of seven wonders of the world but when you reach there it is just another wall as you can not view the length of it standing at one corner but inside there was feeling that I am here .,July,2017,July,2017,Smita S,India,Asia,male,1,1,female,7
504998391_2,GreatWall_NEU_53_2,"Went up by cable and came down by slide , it was fun .",July,2017,July,2017,Smita S,India,Asia,male,3,1,female,7
384653566_1,GreatWall_NEU_102_1,"It is difficult to estimate the age of the part of the wall which is open to tourists near Beijing , but the construction is impressive .",June,2016,June,2016,SonataArctica,Europe,Europe,female,3,1,female,73
334395325_1,GreatWall_NEU_124_1,"To be honest , I arrived there in a cloudy day with a limited visibility .",January,2015,December,2015,Michal M,Israel,Asia,female,1,1,female,76
334395325_2,GreatWall_NEU_124_2,"Yet , looking at the photos is more impressive than the wall itself .",January,2015,December,2015,Michal M,Israel,Asia,female,3,1,female,76
272264646_1,GreatWall_NEU_163_1,Lot's of locals playing cards and chess mixed with an endless sea of tourists visiting the smoke and enjoying the gardens .,May,2015,May,2015,Edward N,Australia,Oceania,male,1,1,male,98
272264646_2,GreatWall_NEU_163_2,Think we also saw six weddings as out visit was on a Saturday and an even number date .,May,2015,May,2015,Edward N,Australia,Oceania,male,1,1,male,98
704303180_1,GreatWall_POS_19_1,"let us face it , if you are coming to China as a tourist , you will definitely be coming to the Great Wall - and why would not you !",August,2019,August,2019,RickDen,United Kingdom,Europe,female,3,1,male,67
704303180_2,GreatWall_POS_19_2,it is almost describable to fathom how they built the thing way back in 656BC .,August,2019,August,2019,RickDen,United Kingdom,Europe,female,1,1,male,67
704303180_3,GreatWall_POS_19_3,"Words are hard to find on the scale of the thing , and the sheer spectacle you see when actually on it .",August,2019,August,2019,RickDen,United Kingdom,Europe,female,3,1,male,67
699856945_1,GreatWall_POS_52_1,This is a great spot - although a sporty one - to visit the Great Wall .,August,2019,August,2019,BernieBird,Switzerland,Europe,male,3,1,male,73
699856945_2,GreatWall_POS_52_2,"Really in the mountains , with many stairs up and down .",August,2019,August,2019,BernieBird,Switzerland,Europe,male,1,1,male,73
699856945_3,GreatWall_POS_52_3,"The sledge to go down was fun too Just one thing - go early , it can be packed .",August,2019,August,2019,BernieBird,Switzerland,Europe,male,1,1,male,73
692877496_1,GreatWall_POS_129_1,"The expansive and beautiful mountain walls can not be enjoyed during April to July months , when the summer heat hits you hard .",June,2019,July,2019,Sanjay L,India,Asia,male,3,1,male,66
692877496_2,GreatWall_POS_129_2,"After a laborious walking up to steep steps of the mountain walls , you can not spend more than an hour due to the scorching sun .",June,2019,July,2019,Sanjay L,India,Asia,male,1,1,male,66
692877496_3,GreatWall_POS_129_3,Elderly and other persons not fond of climbing up steep steps can better avoid this adventure .,June,2019,July,2019,Sanjay L,India,Asia,male,1,1,male,66
689957737_1,GreatWall_POS_164_1,Lovely section of the wall with great options on getting up there and then the toboggan slide is obviously the best way down !,July,2019,July,2019,1pixie_12,Nepal,Asia,female,4,2,female,75
689228881_1,GreatWall_POS_173_1,Our guide Emma even took us along an unrestored part of the wall too which was great .,July,2019,July,2019,KaneGC,United Kingdom,Europe,male,1,1,male,9
688124752_1,GreatWall_POS_187_1,"We travelled to Mutianyu from Beijing in about 1hr 30 Upon arrival you have the option to travel up by cable car or by chair lift , but they arrive at different points on the wall .",June,2019,July,2019,Paul N,Belgium,Europe,female,1,1,male,94
